Timestamp,Mode,NN_Loss,Parsimony_Coeff,Final_Formula,MSE
2026-01-26 01:26:57,spring,0.022280948236584663,0.001,0.000806105446938497*X0**7 - 0.00348116278215692*X0**4 - 0.0145131192085169*X0**3 - 0.258466511321634*X0 - 0.124956175155899,0.05247335880994797
2026-01-26 01:33:31,spring,0.00791302602738142,0.001,X0**4*(0.0374176786273929*X0 - 0.104881953667378),0.05247335880994797
2026-01-26 01:34:19,spring,0.015914250165224075,0.001,X0*(-0.14624932*X0**4 + 0.12250136*X0**3 + 0.95514282504*X0**2 + 0.58847*X0 + 0.0932339)/(0.704816*X0**3 - 2.250914496*X0**2 - 1.176*X0 - 0.151872),0.05247335880994797
2026-01-26 01:35:59,lj,0.321353942155838,0.008,(9.30666666666667*X0 + 2.52788439828404)/(0.029*X0**2 + 0.029/X0) - (X0**2*(X0**2 + 1/X0)/(-7.15832357558796*X0/((0.029*X0**2 + 0.029/X0)*(0.029*X0**2 - 0.029/(0.050314465408805 + 1/(0.008220224*X0**2 - 0.050314465408805)))) + 44.1314818996011/(0.029*X0**2 - 0.029/(0.050314465408805 + 1/(0.008220224*X0**2 - 0.050314465408805))) + 2.90697674418605/(0.050314465408805 - 1/(X0**2 + 1/X0))) + 2.46246331000226*X0/(0.029*X0**2 - 0.029/(0.050314465408805 + 1/(0.008220224*X0**2 - 0.050314465408805))) + 0.050314465408805)/(0.029*X0**2 + 0.029/X0),6.642913818359375
2026-01-26 01:42:09,spring,0.018007980659604073,0.005,-0.635*X0*(0.615*X0 - 1.047)**3*(X0 - 0.818)*(0.036195*X0**3 + 0.078),0.05247335880994797
2026-01-26 01:43:32,lj,4.01402467105072e-05,0.01,4.739336492891*(-0.484)**Abs(X0)*X0 - X0 + 5.05088687782805,4.725780963897705
2026-01-26 01:44:00,spring,0.00722791813313961,0.005,-(0.389*X0 - 0.436)*(X0 - 0.91)*(X0 - 0.622),0.05247335880994797
2026-01-26 01:45:22,lj,4.01402467105072e-05,0.01,4.739336492891*(-0.484)**Abs(X0)*X0 - X0 + 5.05088687782805,4.725780963897705
